State,District,Block/Tehsil,Village,No. of Surface lift Schemes according to the annual cost of maintenance - Upto Rs. 1000,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.1000 to 10000 ,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.10000 to 50000,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.50000 to 100000,No. of Surface lift Schemes according to the annual cost of maintenance - More than Rs. 100000
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,Gandhi Nagar,1,0,0,0,0
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,Sashtri Nagar,2,0,0,0,0
ANDAMAN & NICOBARS,NICOBAR,NANCOWRIE,Aloorang,1,0,0,0,0
ANDAMAN & NICOBARS,NICOBAR,NANCOWRIE,Japan Tkri,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Bandhan Nallah,2,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,D.B. Gram,2,5,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Durgapur,13,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Gandhi nagar,0,4,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Ganesh nagar,4,8,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Jagannath dera,9,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Kalighat,20,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Kalipur,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Keralapuram,1,3,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Kishorinagar,26,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Krishnapuri,1,7,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Kudhirampur,11,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Madhupur,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Madhyamgaram,9,2,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Mohanpur,5,5,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Nabagram,39,0,1,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Nischintapur,9,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Parangara,10,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Paschim Sagar,19,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Pilone Nallah,2,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,R.K.Gram,19,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Radha Nagar,16,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Ram Nagar,2,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Sagardeep,4,3,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Shanti Nagar,5,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Shibpur,21,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Shyam Nagar,28,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Sita Nagar,3,17,1,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Sri nagar,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Subashgram,15,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Swarajgram,37,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Talbagan,10,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Vidyasagar palli,4,2,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Basantipur,8,2,1,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Chainpur,3,6,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Danapur,2,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Dukenagar,15,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Govindpur,8,7,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Hanspuri,3,5,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Lataw,0,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Lauki Nallah (EFA),1,10,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Pahalgaon,0,7,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Pareshnagar,7,3,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Pokadera,0,3,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Prafullyanagar,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Rampur,5,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Santipur,3,5,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Swadesh Nagar,11,11,0,0,0
